"","scale","group1wins","average_ballot_length_all","average_ballot_length_group1"
"406","0.94",1,4.714,4.65
"407","0.96",1,5.232,5.22
"408","0.97",1,5.403,5.39
"409","0.98",1,5.572,5.58
"410","0.99",1,5.808,5.81
"411","0.37",0,1.457,1.43
"412","0.6",1,1.98,2.015
"413","0.75",1,2.74,2.77
"414","0.84",1,3.383,3.415
"415","0.9",1,4.208,4.29
"416","0.94",1,4.724,5.035
"417","0.96",1,5.089,4.985
"418","0.97",1,5.389,5.43
"419","0.98",1,5.61,5.625
"420","0.99",1,5.757,5.62
"421","0.37",3,1.433,1.44
"422","0.6",2,1.933,1.805
"423","0.75",2,2.793,2.835
"424","0.84",1,3.382,3.435
"425","0.9",1,4.098,4.025
"426","0.94",1,4.698,4.7
"427","0.96",1,5.034,4.995
"428","0.97",1,5.409,5.475
"429","0.98",1,5.663,5.625
"430","0.99",1,5.756,5.765
"431","0.37",1,1.471,1.49
"432","0.6",1,1.991,2.045
"433","0.75",1,2.795,2.915
"434","0.84",1,3.423,3.365
"435","0.9",1,3.996,4.13
"436","0.94",1,4.702,4.665
"437","0.96",1,5.18,5.33
"438","0.97",1,5.44,5.435
"439","0.98",1,5.637,5.635
"440","0.99",1,5.743,5.82
"441","0.37",1,1.46,1.505
"442","0.6",1,2.038,2.02
"443","0.75",1,2.688,2.595
"444","0.84",1,3.451,3.25
"445","0.9",1,4.085,4.07
"446","0.94",1,4.681,4.645
"447","0.96",1,5.116,5.18
"448","0.97",1,5.365,5.355
"449","0.98",1,5.573,5.715
"450","0.99",1,5.723,5.75
"451","0.37",2,1.48,1.46
"452","0.6",1,2.005,2.06
"453","0.75",1,2.714,2.785
"454","0.84",1,3.363,3.34
"455","0.9",1,4.099,4.07
"456","0.94",1,4.65,4.72
"457","0.96",1,5.096,5.055
"458","0.97",1,5.377,5.335
"459","0.98",1,5.627,5.63
"460","0.99",1,5.692,5.745
"461","0.37",1,1.438,1.39
"462","0.6",1,2.003,2.015
"463","0.75",1,2.631,2.65
"464","0.84",1,3.405,3.385
"465","0.9",1,4.155,4.045
"466","0.94",1,4.663,4.505
"467","0.96",1,5.11,5.08
"468","0.97",1,5.439,5.385
"469","0.98",1,5.573,5.465
"470","0.99",1,5.789,5.76
"471","0.37",1,1.451,1.43
"472","0.6",1,2.018,2.045
"473","0.75",1,2.711,2.675
"474","0.84",1,3.372,3.63
"475","0.9",1,4.296,4.19
"476","0.94",1,4.672,4.75
"477","0.96",1,5.107,5.05
"478","0.97",1,5.409,5.405
"479","0.98",1,5.649,5.565
"480","0.99",1,5.753,5.775
"481","0.37",1,1.423,1.45
"482","0.6",1,1.894,1.87
"483","0.75",1,2.668,2.705
"484","0.84",1,3.418,3.645
"485","0.9",1,4.025,3.76
"486","0.94",1,4.607,4.68
"487","0.96",1,5.075,5.11
"488","0.97",1,5.468,5.42
"489","0.98",1,5.634,5.67
"490","0.99",1,5.79,5.765
"491","0.37",1,1.476,1.465
"492","0.6",1,1.973,1.975
"493","0.75",1,2.706,2.635
"494","0.84",1,3.537,3.345
"495","0.9",1,4.107,4.185
"496","0.94",1,4.668,4.775
"497","0.96",1,5.098,5.13
"498","0.97",1,5.412,5.445
"499","0.98",1,5.545,5.53
"500","0.99",1,5.782,5.83
"501","0.37",1,1.424,1.41
"502","0.6",1,2.01,1.955
"503","0.75",1,2.658,2.72
"504","0.84",1,3.423,3.51
"505","0.9",1,4.149,4.395
"506","0.94",1,4.6,4.585
"507","0.96",1,5.149,5.265
"508","0.97",1,5.525,5.715
"509","0.98",1,5.644,5.63
"510","0.99",1,5.738,5.745
"511","0.37",1,1.463,1.485
"512","0.6",1,1.952,1.98
"513","0.75",1,2.666,2.685
"514","0.84",1,3.375,3.255
"515","0.9",1,4.116,4.07
"516","0.94",1,4.685,4.77
"517","0.96",1,5.107,5.025
"518","0.97",1,5.419,5.46
"519","0.98",1,5.59,5.495
"520","0.99",1,5.737,5.855
"521","0.37",1,1.491,1.53
"522","0.6",1,1.97,1.915
"523","0.75",1,2.627,2.69
"524","0.84",1,3.317,3.225
"525","0.9",1,4.149,4.205
"526","0.94",1,4.646,4.635
"527","0.96",1,5.068,5.175
"528","0.97",1,5.401,5.325
"529","0.98",1,5.585,5.54
"530","0.99",1,5.774,5.75
"531","0.37",1,1.478,1.44
"532","0.6",1,1.962,1.9
"533","0.75",1,2.698,2.645
"534","0.84",1,3.406,3.47
"535","0.9",1,4.156,4.065
"536","0.94",1,4.624,4.69
"537","0.96",1,5.123,4.92
"538","0.97",1,5.408,5.455
"539","0.98",1,5.625,5.605
"540","0.99",1,5.782,5.75
"541","0.37",1,1.439,1.455
"542","0.6",1,1.982,1.935
"543","0.75",1,2.688,2.765
"544","0.84",1,3.371,3.495
"545","0.9",1,4.192,4.415
"546","0.94",1,4.633,4.73
